tAI_full	flag_Kon	protein_synthesis_rate	real_protein_synthesis_per_mrna	AvgExp_Steinmetz	AvgmRNA_percell_Holstege	Gene	AVGEXP_YPD	DM_YPD	tAI_full	AvgExp_Steinmetz	DM_Steinmetz	Kon	real_protein_synthesis_per_mrna	
I2TLE	High	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	Int1.mRNA	SNF4	256.5	3.291	0.377896251868566	2.821	-0.094	18.775	0.001	
I2TLE	High	IntProtSyn	LowProtSyn.mRNA	Int1.mRNA	Int1.mRNA	SNF7	162	-0.194	0.366708170488038	2.468	-0.076	16.526	0.014	
I1TLE	Intermediate1	NA	NA	Int1.mRNA	Low.mRNA	SNL1	452.5	-0.491	0.394569703539641	2.282	-0.057	11.487	NA	
I2TLE	Intermediate2	NA	NA	Int1.mRNA	High.mRNA	SNQ2	533	1.17	0.376219184824776	3.945	0.145	2.219	NA	
LowTLE	High	NA	NA	Low.mRNA	NA	SNU114	76.5	1.169	0.346382371967477	0.474	-0.279	307.28	NA	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	SOD1	4445	3.486	0.478048139175756	37.799	0.117	8.36	0.383	
HighTLE	NA	HighProtSyn	I1ProtSyn.mRNA	NA	NA	SOD2	465	7.219	0.441963808757091	NA	NA	NA	0.067	
I1TLE	Intermediate2	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	Int1.mRNA	SOF1	405.5	-0.554	0.411845822682397	3.066	0.005	2.196	0.006	
LowTLE	Low	NA	NA	Low.mRNA	Low.mRNA	SOH1	106.5	-1.759	0.32602742664965	0.841	-0.071	1.509	NA	
LowTLE	Low	IntProtSyn	I2ProtSyn.mRNA	Int2.mRNA	Low.mRNA	SOK2	82	-3.927	0.331872547586444	1.149	-0.025	0.565	0.019	
I2TLE	Intermediate1	NA	NA	Low.mRNA	Low.mRNA	SOL1	202	-0.754	0.356082427752538	0.709	-0.112	12.964	NA	
I2TLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	Int1.mRNA	SOL3	194.5	5.826	0.371071819094845	3.248	-0.016	5.538	0.138	
I2TLE	Low	IntProtSyn	LowProtSyn.mRNA	Int1.mRNA	NA	SOP4	526	-0.952	0.374874524292851	3.323	-0.048	0.927	0.005	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	Int1.mRNA	SPB4	109.5	-0.496	0.359955862383662	1.806	0.035	3.608	NA	
LowTLE	Intermediate1	NA	NA	Int2.mRNA	Low.mRNA	SPC1	135.5	-0.256	0.325484512757494	1.689	0.017	5.041	NA	
I2TLE	Intermediate1	NA	NA	Int2.mRNA	Int1.mRNA	SPC2	320	0.107	0.378686779522238	1.321	-0.108	13.665	NA	
I2TLE	Intermediate2	IntProtSyn	I2ProtSyn.mRNA	Int2.mRNA	NA	SPC24	72	-0.846	0.352012491660615	1.776	0.031	2.946	0.032	
LowTLE	Low	NA	NA	Low.mRNA	NA	SPC29	73	3.394	0.281438006826103	0.208	0.192	0.308	NA	
I1TLE	High	NA	NA	Int2.mRNA	Int1.mRNA	SPC3	140.5	2.771	0.380927393693019	1.397	-0.083	15.675	NA	
I2TLE	Intermediate1	NA	NA	Int2.mRNA	Low.mRNA	SPE2	623	-0.483	0.379590735747917	1.964	-0.098	7.339	NA	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	SPE3	764	1.07	0.491172843370976	7.587	-0.133	10.595	0.119	
HighTLE	Intermediate2	NA	NA	Int2.mRNA	Int2.mRNA	SPF1	1279.5	-3.174	0.43217829483339	1.818	0.039	3.618	NA	
LowTLE	Low	NA	NA	Int1.mRNA	NA	SPL2	764	5.666	0.343389488987347	2.406	0.564	0.602	NA	
LowTLE	NA	NA	NA	NA	NA	SPP381	100	0.627	0.347810672873085	NA	NA	NA	NA	
I1TLE	High	NA	NA	High.mRNA	High.mRNA	SPT15	330.5	-0.491	0.385055406985129	5.817	-0.096	24.764	NA	
I1TLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	Int2.mRNA	NA	SPT16	919.5	0.006	0.406731432731195	1.89	-0.061	12.958	0.02	
I2TLE	Intermediate1	NA	NA	Int1.mRNA	Low.mRNA	SPT2	100.5	-0.642	0.366742070402829	2.021	-0.085	13.123	NA	
LowTLE	High	NA	NA	Int1.mRNA	Int2.mRNA	SPT4	512.5	0.468	0.31941196631304	2.919	-0.128	33.005	NA	
I1TLE	High	LowProtSyn	LowProtSyn.mRNA	High.mRNA	Low.mRNA	SPT6	488.5	1.278	0.408112222043313	6.715	-0.113	40.432	0.007	
I2TLE	Low	NA	NA	Low.mRNA	NA	SPT7	69	2.778	0.365114437747415	0.862	-0.053	1.322	NA	
I2TLE	High	NA	NA	Low.mRNA	NA	SQS1	62.5	-4.751	0.366800563869474	0.775	-0.118	24.334	NA	
I1TLE	High	IntProtSyn	LowProtSyn.mRNA	High.mRNA	Int2.mRNA	SQT1	597	-1.237	0.382414826055635	5.062	-0.083	19.162	0.014	
I2TLE	Intermediate1	NA	NA	Low.mRNA	Int1.mRNA	SRB4	130	-0.715	0.358562248188252	0.548	-0.098	6.502	NA	
LowTLE	High	NA	NA	Int2.mRNA	Int1.mRNA	SRB6	92	0.105	0.332731349977787	1.537	-0.111	19.023	NA	
I1TLE	NA	NA	NA	NA	NA	SRL1	243	2.461	0.384970368846821	NA	NA	NA	NA	
I1TLE	Intermediate2	IntProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	SRM1	552	-1.04	0.407643599914942	2.268	-0.054	1.931	0.043	
I2TLE	Intermediate2	NA	NA	Low.mRNA	NA	SRO7	133.5	0.378	0.355399113666684	0.353	-0.067	1.892	NA	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	NA	SRO9	3260	-0.65	0.451308364809303	2.652	-0.023	4.938	0.124	
I1TLE	Low	NA	NA	Int1.mRNA	NA	SRP102	385.5	-2.028	0.383397473732022	2.303	-0.116	0.237	NA	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	Int2.mRNA	SRP14	332.5	-2.084	0.379650501764425	1.852	-0.024	2.733	NA	
I2TLE	Low	NA	NA	Low.mRNA	Int2.mRNA	SRP21	276	-1.85	0.365007777429806	0.511	0.15	0.295	NA	
I1TLE	High	IntProtSyn	LowProtSyn.mRNA	Low.mRNA	Int1.mRNA	SRP40	879.5	-0.143	0.39173298687742	0.686	-0.178	46.851	0.006	
I1TLE	High	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	SRP68	499	-1.915	0.391855995208558	3.391	-0.144	62.904	0.015	
I1TLE	High	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	Int1.mRNA	SRP72	395	-2.236	0.387544193158654	2.486	-0.143	60.108	0.005	
HighTLE	High	NA	NA	Int1.mRNA	Int2.mRNA	SRV2	319	1.772	0.423741995472236	3.686	-0.128	44.188	NA	
HighTLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	SSA1	32395	13.097	0.604985040505742	22.612	0.226	3.08	0.702	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	SSA2	37239.5	2.715	0.625599161380653	76.846	0.138	8.82	1.223	
I1TLE	Low	IntProtSyn	I1ProtSyn.mRNA	Low.mRNA	NA	SSA4	156.5	28.769	0.417262480174814	0.453	0.532	0.449	0.081	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	SSB1	1218	-1.265	0.634286727309649	68.498	-0.01	6.396	0.785	
HighTLE	Intermediate1	NA	NA	High.mRNA	High.mRNA	SSB2	7400.5	-1.173	0.624163372946731	43.424	-0.071	5.532	NA	
I1TLE	Intermediate2	NA	NA	Int2.mRNA	Low.mRNA	SSD1	577.5	2.446	0.396699023320003	1.3	-0.003	4.072	NA	
HighTLE	Low	NA	NA	Low.mRNA	NA	SSE2	144	5.971	0.422624402197267	0.333	-0.032	0.732	NA	
I1TLE	Low	IntProtSyn	LowProtSyn.mRNA	Int1.mRNA	Int1.mRNA	SSF1	314.5	0.669	0.397067490303473	3.307	-0.069	0.417	0.009	
I2TLE	Intermediate1	NA	NA	Int2.mRNA	Int1.mRNA	SSF2	91.5	3.937	0.370689754645061	1.666	-0.064	10.157	NA	
HighTLE	Low	IntProtSyn	LowProtSyn.mRNA	High.mRNA	High.mRNA	SSH1	1496	-0.177	0.447008787870659	8.98	-0.111	0.1	0.01	
I1TLE	Low	NA	NA	Int2.mRNA	NA	SSL2	75	-2.423	0.392786181137225	1.135	-0.04	1.418	NA	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	Int1.mRNA	SSM4	73	-1.748	0.376393897033892	1.282	0.065	2.562	NA	
HighTLE	Low	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	Int1.mRNA	SSO2	121	-1.387	0.456185853006959	2.884	-0.081	0.624	0.157	
I1TLE	Intermediate1	HighProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Int1.mRNA	SSP120	167	-0.379	0.419793690002048	3.341	-0.079	8.708	0.032	
I2TLE	Intermediate1	NA	NA	Low.mRNA	NA	SSQ1	86	-0.034	0.364517179595502	0.734	-0.072	6.807	NA	
HighTLE	Intermediate1	NA	NA	High.mRNA	High.mRNA	SSS1	432	-0.994	0.519127296020776	12.114	-0.103	5.845	NA	
I2TLE	Low	NA	NA	Int2.mRNA	Low.mRNA	SST2	98	1.89	0.361787665262859	1.258	0.127	0.892	NA	
HighTLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	SSZ1	2618.5	-0.907	0.526248748394221	14.949	-0.12	3.559	0.279	
LowTLE	NA	IntProtSyn	LowProtSyn.mRNA	NA	Low.mRNA	STE18	190	-0.391	0.310890433306164	NA	NA	NA	0.008	
LowTLE	Low	NA	NA	High.mRNA	High.mRNA	STE2	812.5	6.661	0.349142692606203	11.362	0.195	1.674	NA	
I2TLE	Intermediate2	NA	NA	Low.mRNA	Low.mRNA	STE20	274	-0.626	0.366531894588262	0.944	-0.02	3.113	NA	
I1TLE	Intermediate2	NA	NA	Int1.mRNA	Int1.mRNA	STE24	926	-0.521	0.412860166143666	4.174	-0.082	3.819	NA	
LowTLE	Low	NA	NA	Int1.mRNA	Int2.mRNA	STE4	151	1.35	0.333137998980952	3.228	-0.11	0.025	NA	
LowTLE	Intermediate2	NA	NA	Int2.mRNA	Int2.mRNA	STE6	269.5	1.072	0.346990873677764	1.229	0.128	1.9	NA	
LowTLE	Intermediate1	NA	NA	Low.mRNA	Low.mRNA	STE7	83.5	3.611	0.331637251325744	0.601	-0.101	8.913	NA	
I1TLE	Low	HighProtSyn	HighProtSyn.mRNA	Low.mRNA	NA	STF1	140	3.021	0.382281302554868	0.85	0.068	0.749	0.144	
HighTLE	Low	NA	NA	Int1.mRNA	NA	STF2	443	12.266	0.500870168227166	3.233	0.467	1.01	NA	
I1TLE	High	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	Low.mRNA	STH1	197.5	1.969	0.413215447526669	2.701	-0.15	45.013	0.01	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	STI1	3996.5	1.085	0.443988918341021	10.664	0.046	6.097	0.326	
HighTLE	Intermediate1	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	NA	STM1	6740.5	2.317	0.631979572592876	44.569	-0.095	4.67	0.061	
I1TLE	Intermediate2	NA	NA	Low.mRNA	NA	STO1	297.5	0.58	0.391935593551778	0.915	-0.05	3.508	NA	
I1TLE	High	IntProtSyn	I2ProtSyn.mRNA	High.mRNA	Int1.mRNA	STT3	586	-2.716	0.411009110429738	5.141	-0.18	35.129	0.038	
I2TLE	Low	NA	NA	Low.mRNA	Low.mRNA	STU2	87.5	-2.762	0.360493512504222	0.513	0.123	1.237	NA	
LowTLE	NA	NA	NA	NA	Low.mRNA	SUA5	77.5	-0.377	0.318287871663518	NA	NA	NA	NA	
I2TLE	Intermediate2	NA	NA	Int1.mRNA	Int2.mRNA	SUA7	118.5	-0.983	0.367027399703824	3.455	-0.051	2.65	NA	
HighTLE	Intermediate1	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	NA	SUB1	165.5	-0.284	0.429766798682072	4.365	0.036	5.607	0.074	
HighTLE	Low	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	Int2.mRNA	SUI2	1300	1.401	0.487911167281583	8.736	-0.122	0.075	0.069	
HighTLE	Intermediate2	IntProtSyn	I1ProtSyn.mRNA	High.mRNA	Int2.mRNA	SUN4	191	-0.236	0.441409374274902	5.792	0.145	2.934	0.055	
HighTLE	Intermediate1	NA	NA	High.mRNA	High.mRNA	SUP35	2617	-1.413	0.467093845296314	5.843	-0.089	5.743	NA	
HighTLE	Intermediate2	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	High.mRNA	SUP45	3019.5	-2.378	0.469388419328253	10.981	-0.121	3.001	0.057	
I2TLE	Low	NA	NA	Int2.mRNA	Low.mRNA	SUR1	316.5	0.603	0.352109453191934	1.157	0.371	1.01	NA	
I1TLE	Intermediate2	IntProtSyn	LowProtSyn.mRNA	Int1.mRNA	Int2.mRNA	SUR2	811	0.388	0.406159435337636	3.419	0.018	1.946	0.009	
I2TLE	Low	NA	NA	High.mRNA	Int2.mRNA	SUR7	1333	0.773	0.355441535278134	5.8	0.272	1.194	NA	
HighTLE	Low	NA	NA	High.mRNA	NA	SVF1	1241.5	-2.197	0.440495960905451	8.562	-0.077	1.151	NA	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	Int1.mRNA	SVL3	376	-0.04	0.367194058730767	1.795	0.091	2.999	NA	
I1TLE	Low	NA	NA	Int1.mRNA	Int2.mRNA	SVS1	147.5	5.614	0.382969087937388	2.024	1.27	0.097	NA	
I2TLE	Low	IntProtSyn	I1ProtSyn.mRNA	Low.mRNA	NA	SWA2	118.5	0.113	0.369070906496522	0.893	0.212	1.455	0.051	
I2TLE	High	NA	NA	Low.mRNA	Low.mRNA	SWI1	64.5	-2.955	0.359853004997624	0.606	-0.114	48.227	NA	
I2TLE	Intermediate1	NA	NA	Low.mRNA	Low.mRNA	SWI6	87	-0.511	0.353299468676175	0.655	-0.121	11.206	NA	
I1TLE	Low	NA	NA	Low.mRNA	Int2.mRNA	SWP1	768	-1.758	0.417082725885548	0.755	0.04	1.343	NA	
I2TLE	Intermediate1	NA	NA	Int2.mRNA	NA	SWS2	94	1.784	0.3535379863264	1.487	-0.01	4.803	NA	
I1TLE	Low	NA	NA	Low.mRNA	Int1.mRNA	SXM1	491.5	0.274	0.392365757228472	0.829	-0.029	0.87	NA	
LowTLE	Intermediate2	NA	NA	Low.mRNA	NA	SYC1	98.5	-2.121	0.314236646112289	0.632	-0.044	3.183	NA	
I2TLE	NA	NA	NA	NA	Int2.mRNA	SYG1	112.5	0.72	0.351232594161319	NA	NA	NA	NA	
I1TLE	Intermediate2	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	NA	SYH1	104.5	-2.048	0.382085818443578	3.544	-0.094	2.24	0.002	
LowTLE	Low	NA	NA	Int1.mRNA	NA	SYO1	139.5	0.193	0.332209706223149	2.217	-0.079	1.448	NA	
I2TLE	Low	NA	NA	Low.mRNA	NA	SYP1	192.5	2.229	0.370581427529183	0.563	0.031	1.365	NA	
LowTLE	Low	NA	NA	Int2.mRNA	Int1.mRNA	SYS1	75.5	-1.639	0.288873888435083	1.411	-0.063	1.166	NA	
NA	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	NA	TAE2	359	-1.657	NA	3.636	-0.074	12.681	0.004	
I2TLE	Intermediate2	NA	NA	Int1.mRNA	NA	TAF12	131	3.814	0.356777219689046	3.265	0.184	2.67	NA	
I2TLE	High	HighProtSyn	I1ProtSyn.mRNA	Int1.mRNA	NA	TAF14	217	3.956	0.379013726540021	3.221	-0.11	48.057	0.081	
LowTLE	High	NA	NA	Int2.mRNA	NA	TAF9	248.5	-1.163	0.312234255801397	1.66	-0.116	252.62	NA	
LowTLE	Intermediate2	NA	NA	Int2.mRNA	NA	TAH1	75.5	1.342	0.327171449348594	1.15	0.188	1.991	NA	
HighTLE	Intermediate1	NA	NA	High.mRNA	High.mRNA	TAL1	1475	2.962	0.579587441008745	13.637	-0.077	9.372	NA	
I2TLE	Intermediate1	NA	NA	Int1.mRNA	NA	TAT1	982.5	1.062	0.353567385057483	2.895	0.005	5.648	NA	
LowTLE	High	NA	NA	Int2.mRNA	NA	TAT2	512.5	-0.795	0.344129927789797	1.54	-0.094	13.724	NA	
LowTLE	Intermediate1	LowProtSyn	I2ProtSyn.mRNA	Low.mRNA	Low.mRNA	TBF1	139.5	-0.402	0.346114488879181	1	-0.057	6.588	0.033	
I2TLE	Intermediate1	NA	NA	Low.mRNA	NA	TCA17	72	-0.021	0.356356049903032	0.749	-0.129	8.289	NA	
HighTLE	Low	NA	NA	Low.mRNA	NA	TCB1	438.5	0.714	0.426797739332974	0.785	-0.004	0.009	NA	
I2TLE	Intermediate1	NA	NA	Int2.mRNA	NA	TCB2	367.5	-0.967	0.374617404758586	1.586	-0.09	11.515	NA	
I1TLE	Intermediate2	IntProtSyn	I2ProtSyn.mRNA	Int2.mRNA	NA	TCB3	602.5	4.951	0.406811969495238	1.808	0.126	2.42	0.026	
LowTLE	Intermediate1	NA	NA	Low.mRNA	NA	TCD1	129	0.588	0.343981263937478	0.989	-0.032	5.74	NA	
I2TLE	Intermediate1	NA	NA	Int2.mRNA	NA	TCD2	259	0.254	0.353539085833701	1.594	0.005	5.387	NA	
I2TLE	Low	NA	NA	Low.mRNA	NA	TDA1	474	3.371	0.377692585298678	0.725	0.615	1.065	NA	
I2TLE	High	NA	NA	Low.mRNA	NA	TDA10	74	-0.348	0.377709902802974	0.306	-0.238	138.248	NA	
I2TLE	High	IntProtSyn	HighProtSyn.mRNA	Int2.mRNA	NA	TDA3	119.5	0.347	0.361716189548466	1.246	-0.103	68.19	0.125	
I2TLE	NA	NA	NA	NA	NA	TDA4	60	6.562	0.353941163344976	NA	NA	NA	NA	
HighTLE	Low	NA	NA	Low.mRNA	NA	TDH1	1869.5	22.17	0.617869966233198	0.814	1.679	0.229	NA	
HighTLE	Intermediate1	NA	NA	High.mRNA	High.mRNA	TDH2	15357.5	11.149	0.634763965775782	105.829	0.257	10	NA	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	TDH3	61318	0.292	0.641118180793863	362.925	-0.11	10	0.326	
HighTLE	High	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	NA	TEF1	39837.5	-1.852	0.624505574418597	236.788	-0.046	36.37	0.1	
HighTLE	High	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	NA	TEF2	30699.5	-0.748	0.625180559484273	221.627	-0.049	21.203	0.097	
HighTLE	NA	HighProtSyn	I1ProtSyn.mRNA	NA	Int2.mRNA	TEF4	4954	0.934	0.551948806094642	NA	NA	NA	0.081	
I1TLE	Low	NA	NA	Int2.mRNA	Int2.mRNA	TFA1	183	0.412	0.41469661949836	1.744	0.001	1.29	NA	
I1TLE	Low	NA	NA	Low.mRNA	Low.mRNA	TFB1	57.5	-2.125	0.407457954898792	0.544	-0.028	1.274	NA	
I1TLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Low.mRNA	TFG1	123	-2.449	0.383235320597381	3.794	-0.039	9.268	0.017	
I2TLE	High	NA	NA	Low.mRNA	NA	THG1	65.5	8.897	0.3513551472418	0.514	-0.171	25.548	NA	
HighTLE	Low	NA	NA	Int2.mRNA	Low.mRNA	THI7	87.5	12.055	0.432173480215639	1.065	0.052	1.322	NA	
I2TLE	Intermediate2	NA	NA	NA	NA	THP3	74.5	-1.193	0.359014259475529	NA	NA	1.753	NA	
HighTLE	High	NA	NA	High.mRNA	High.mRNA	THR1	499.5	8.277	0.433594609742755	6.865	-0.124	52.385	NA	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	THR4	3806.5	-1.507	0.499611502846922	8.366	-0.111	6.033	0.503	
HighTLE	Intermediate1	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	High.mRNA	THS1	1795	-1.991	0.501772769605205	12.873	-0.078	6.472	0.075	
HighTLE	Intermediate2	HighProtSyn	I2ProtSyn.mRNA	High.mRNA	NA	TIF1	3514.5	-1.943	0.599248944255539	11.633	-0.136	2.415	0.034	
HighTLE	High	HighProtSyn	I2ProtSyn.mRNA	High.mRNA	High.mRNA	TIF11	1289.5	-2.24	0.483931920752559	20.86	-0.117	115.991	0.035	
HighTLE	High	HighProtSyn	I2ProtSyn.mRNA	High.mRNA	High.mRNA	TIF2	6542	-2.03	0.599248945548329	24.463	-0.09	52.106	0.034	
HighTLE	High	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	High.mRNA	TIF3	2433	-1.052	0.500957095180349	13.14	-0.12	48.65	0.057	
HighTLE	Intermediate1	HighProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	TIF4631	2253.5	-1.285	0.448605926592431	3.75	0.034	7.037	0.101	
I1TLE	Low	NA	NA	Low.mRNA	Low.mRNA	TIF4632	480	-0.929	0.399775531719151	0.524	0.015	0.828	NA	
HighTLE	High	NA	NA	High.mRNA	Int2.mRNA	TIF5	2286	-1.761	0.449447450847936	12.027	-0.126	20.746	NA	
HighTLE	High	NA	NA	High.mRNA	NA	TIF6	1059.5	-0.6	0.423285289921357	10.965	-0.153	26.687	NA	
I2TLE	High	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	NA	TIM11	80	1.864	0.377910924511143	2.778	-0.128	79.122	0.031	
I2TLE	High	NA	NA	High.mRNA	Int2.mRNA	TIM17	759	61.049	0.356843419548723	6.484	-0.175	30.27	NA	
I2TLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Low.mRNA	TIM44	560	1.743	0.377147620964436	3.428	-0.122	5.371	0.024	
HighTLE	High	IntProtSyn	I1ProtSyn.mRNA	Int1.mRNA	NA	TIM50	248	-0.159	0.427828852117651	4.133	-0.124	61.398	0.05	
I2TLE	High	NA	NA	Int1.mRNA	Low.mRNA	TIM54	111	0.837	0.355718758059202	2.254	-0.101	22.487	NA	
HighTLE	Low	NA	NA	High.mRNA	NA	TIP1	840	13.471	0.515982578322237	38.205	0.464	0.872	NA	
I2TLE	Intermediate2	NA	NA	Low.mRNA	Low.mRNA	TIP20	85.5	-1.538	0.376426558929279	0.857	0.059	1.925	NA	
LowTLE	NA	NA	NA	NA	NA	TIP41	72	-2.541	0.34617533792129	NA	NA	NA	NA	
HighTLE	Low	NA	NA	High.mRNA	NA	TIR1	139	17.69	0.562656332070854	7.669	0.567	0.809	NA	
HighTLE	High	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	TKL1	6564	1.019	0.516706069338859	17.092	-0.095	43.653	0.385	
HighTLE	Low	NA	NA	Low.mRNA	NA	TMA10	173	6.941	0.488499796395824	0.552	0.593	0.414	NA	
I1TLE	High	NA	NA	Low.mRNA	NA	TMA108	78	12.55	0.385346069413651	0.624	-0.145	39.69	NA	
I1TLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	NA	TMA16	176	1.163	0.405697848005029	3.618	-0.053	11.947	0.02	
HighTLE	Low	HighProtSyn	HighProtSyn.mRNA	Low.mRNA	NA	TMA17	205.5	5.594	0.424563296154408	0.906	0.081	0.049	0.149	
HighTLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	TMA19	6145.5	-2.335	0.607257696530568	4.467	0.105	3.532	0.221	
HighTLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	NA	TMA20	434.5	0.205	0.422596435815119	2.246	-0.11	1.801	0.124	
HighTLE	Intermediate2	HighProtSyn	I2ProtSyn.mRNA	High.mRNA	NA	TMA22	713	-2.593	0.448840395703143	6.041	-0.113	2.148	0.02	
I2TLE	Low	NA	NA	Int1.mRNA	NA	TMA23	88	-0.629	0.350539963494225	2.99	-0.048	1.545	NA	
HighTLE	Intermediate2	NA	NA	High.mRNA	NA	TMA7	630.5	-1.313	0.483588047632946	13.173	-0.114	1.715	NA	
LowTLE	High	NA	NA	Low.mRNA	NA	TMN3	122	-0.776	0.312248378377422	0.829	-0.166	154.899	NA	
LowTLE	Low	NA	NA	Low.mRNA	NA	TMS1	141	0.289	0.320593149629969	0.736	-0.029	0.593	NA	
I2TLE	Intermediate1	NA	NA	Int1.mRNA	NA	TNA1	342	5.434	0.372908621522195	2.309	-0.086	8.197	NA	
LowTLE	Low	NA	NA	Int1.mRNA	Int2.mRNA	TOA2	121.5	2.463	0.332317996529183	3.64	-0.085	0.961	NA	
HighTLE	Intermediate2	NA	NA	High.mRNA	Int2.mRNA	TOM20	582.5	5.45	0.433794315828274	4.592	-0.113	4.43	NA	
I1TLE	High	NA	NA	High.mRNA	NA	TOM7	74.5	4.019	0.419056589151189	5.237	-0.087	17.801	NA	
HighTLE	High	HighProtSyn	HighProtSyn.mRNA	High.mRNA	Int1.mRNA	TOM70	78	0.893	0.469946454425426	5.432	-0.101	27.371	0.217	
I1TLE	NA	NA	NA	NA	NA	TOM71	180	0.715	0.386215157790513	NA	NA	NA	NA	
I1TLE	Intermediate1	NA	NA	Int2.mRNA	Low.mRNA	TOP1	67	-4.559	0.405866138625799	1.693	-0.03	6.076	NA	
I1TLE	Low	NA	NA	Int1.mRNA	Int1.mRNA	TOP2	134.5	0.337	0.385494123567448	2.567	0.034	0.513	NA	
HighTLE	Intermediate1	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	NA	TOS1	423.5	-0.179	0.448474703159752	16.512	-0.05	7.092	0.081	
HighTLE	Low	NA	NA	Int1.mRNA	NA	TOS6	1084	0.25	0.450188273295228	2.267	1.801	0.057	NA	
HighTLE	High	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	NA	TPA1	105	0.648	0.428072359723439	3.327	-0.109	15.891	0.032	
I1TLE	Intermediate2	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	TPD3	772.5	-2.478	0.389024616052149	2.832	-0.112	2.399	0.042	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	TPI1	4768	-0.669	0.610161570168433	118.575	0.116	10	0.27	
I1TLE	Low	NA	NA	Low.mRNA	Low.mRNA	TPK1	81	1.702	0.390469079627044	0.667	0.076	0.941	NA	
I2TLE	Low	NA	NA	Low.mRNA	Low.mRNA	TPK2	65	-0.357	0.353797086537646	0.919	-0.052	1.018	NA	
I2TLE	NA	NA	NA	NA	Low.mRNA	TPK3	91.5	-2.328	0.373439178494165	NA	NA	NA	NA	
HighTLE	Intermediate2	NA	NA	Int1.mRNA	Int1.mRNA	TPM2	408	-0.386	0.474478206369331	3.231	-0.116	3.647	NA	
I1TLE	Intermediate2	NA	NA	Int1.mRNA	NA	TPO1	414	10.898	0.384732612074809	2.55	0.116	2.903	NA	
HighTLE	Low	NA	NA	Low.mRNA	NA	TPO2	160	9.521	0.429468453923317	0.198	0.632	0.297	NA	
I1TLE	Low	IntProtSyn	I1ProtSyn.mRNA	Int1.mRNA	NA	TPO3	613	5.042	0.406523767128773	2.082	0.014	0.641	0.091	
I1TLE	Low	NA	NA	Int2.mRNA	NA	TPO4	345.5	11.453	0.387810816543263	1.416	0.349	1.077	NA	
I1TLE	Intermediate2	NA	NA	High.mRNA	NA	TPS1	1279	6.579	0.389506127735103	5.111	0.056	4.284	NA	
